id	type	sample_used
BillFood4	Food	Food 4
BillFood5	Food	Food 5
CarolineMouseFecesD1	Mouse Feces	Mouse Feces D1
CarolineSoilRiverside	Soil	Soil Riverside
DhakeniaMFood2	Food	Food 2
DhakeniaMSoilCentralPark	Soil	Soil Central Park
JayHumanSkinE2	Skin	Skin E2
JaySoilLabSt	Soil	Soil Lab Street
KeithMouseFecesE1	Mouse Feces	Mouse Feces E1
KeithSoilRiverside	Soil	Soil Riverside
MattMouseFeces	Mouse Feces	Mouse Feces
MattSoilRiverside	Soil	Soil Riverside
OmControl	Control	Control
OmFood1	Food	Food 1
OmMouseFecesC2	Mouse Feces	Mouse Feces C2
RuichaoFood3	Food	Food 3
RuichaoHumanSkinD1	Skin	Skin D1
VeshHumanSkin	Skin	Skin
VeshSoilRiverside	Soil	Soil Riverside
