# Constructed from biom file
#OTU ID	BillFood4	BillFood5	CarolineMouseFecesD1	CarolineSoilRiverside	DhakeniaMFood2	DhakeniaMSoilCentralPark	JayHumanSkinE2	JaySoilLabSt	KeithMouseFecesE1	KeithSoilRiverside	MattMouseFeces	MattSoilRiverside	OmControl	OmFood1	OmMouseFecesC2	RuichaoFood3	RuichaoHumanSkinD1	VeshHumanSkin	VeshSoilRiverside
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	0.0	0.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	57.0	748.0	18898.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	162.0	0.0	0.0	38.0	20123.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	13.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7376.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Chujaibacter	0.0	0.0	0.0	2576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3083.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Cyanobacteriota;c__Cyanophyceae;__;__;__	5167.0	5.0	0.0	6.0	0.0	24.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1211.0	0.0	0.0	9.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;__	8.0	0.0	10.0	193.0	0.0	85.0	0.0	26.0	0.0	0.0	0.0	253.0	0.0	3005.0	0.0	0.0	0.0	0.0	6.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Undibacter	0.0	0.0	0.0	1222.0	10.0	0.0	6.0	0.0	0.0	0.0	0.0	1468.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Methylothermalis	0.0	203.0	0.0	0.0	0.0	2971.0	0.0	80.0	0.0	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	0.0	0.0	0.0	2515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned;__;__;__;__;__	13.0	393.0	0.0	1482.0	8.0	2149.0	0.0	596.0	0.0	1136.0	0.0	1720.0	1.0	27.0	4.0	0.0	0.0	0.0	1112.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Rhodomicrobium	0.0	0.0	0.0	0.0	0.0	1486.0	0.0	776.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;__	171.0	0.0	0.0	0.0	465.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	769.0	0.0	969.0	0.0	0.0	0.0
k__Bacillati;__;__;__;__;__	0.0	376.0	0.0	1412.0	5.0	2155.0	0.0	1247.0	0.0	1112.0	0.0	1966.0	0.0	0.0	9.0	0.0	0.0	0.0	1119.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria;f__Gammaproteobacteria;g__Acidibacter	0.0	154.0	2.0	1286.0	0.0	52.0	0.0	35.0	0.0	381.0	0.0	2184.0	0.0	0.0	0.0	0.0	0.0	0.0	301.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;__	15.0	345.0	0.0	843.0	0.0	1197.0	0.0	1912.0	0.0	750.0	0.0	1232.0	0.0	0.0	5.0	0.0	0.0	0.0	807.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;__;__	0.0	113.0	0.0	1064.0	0.0	634.0	7.0	211.0	0.0	764.0	0.0	1510.0	0.0	0.0	0.0	0.0	0.0	0.0	785.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Treboniaceae;g__Trebonia	0.0	0.0	0.0	2102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2472.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Jatrophihabitantales;f__Jatrophihabitantaceae;g__Jatrophihabitans	0.0	0.0	0.0	871.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	993.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lentilactobacillus	0.0	0.0	0.0	0.0	1539.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	0.0	310.0	0.0	4991.0	34.0	1163.0	22.0	723.0	0.0	1684.0	0.0	6035.0	0.0	0.0	0.0	0.0	0.0	0.0	1706.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;__;__	0.0	249.0	0.0	1191.0	0.0	1283.0	0.0	1700.0	0.0	873.0	0.0	1678.0	0.0	0.0	13.0	0.0	0.0	0.0	720.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Caryophanaceae;__	0.0	0.0	0.0	468.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	691.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacillota;o__Bacillota;f__Bacillota;g__Hydrogenispora	0.0	0.0	0.0	107.0	0.0	4183.0	0.0	445.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1119.0	0.0	1392.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;__;__	0.0	152.0	0.0	620.0	0.0	74.0	0.0	15.0	0.0	349.0	0.0	791.0	0.0	0.0	0.0	0.0	0.0	0.0	282.0
k__Pseudomonadati;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;__	0.0	9.0	0.0	527.0	0.0	18.0	0.0	41.0	0.0	0.0	0.0	629.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;__;__;__	0.0	206.0	0.0	811.0	0.0	269.0	0.0	23.0	0.0	762.0	0.0	1288.0	0.0	0.0	0.0	0.0	0.0	0.0	676.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1288.0	0.0	4.0	0.0	0.0	0.0
k__Bacillati;p__Chloroflexota;c__Anaerolineae;__;__;__	0.0	0.0	0.0	0.0	0.0	496.0	0.0	984.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Fimbriiglobus	0.0	131.0	0.0	420.0	0.0	108.0	0.0	71.0	0.0	38.0	0.0	635.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;__	0.0	44.0	0.0	196.0	0.0	568.0	0.0	523.0	0.0	69.0	0.0	225.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium	0.0	0.0	0.0	21.0	0.0	1955.0	0.0	63.0	0.0	0.0	7.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Baekduiaceae;g__Baekduia	0.0	0.0	0.0	486.0	0.0	0.0	0.0	37.0	0.0	4.0	0.0	620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;__	0.0	0.0	0.0	0.0	0.0	1019.0	0.0	93.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Nitrobacter	0.0	0.0	0.0	0.0	0.0	208.0	0.0	631.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Rhodanobacteraceae;g__Mizugakiibacter	0.0	0.0	0.0	368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	443.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	892.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;__;__;__	0.0	121.0	0.0	32.0	0.0	170.0	0.0	232.0	36.0	1029.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	925.0
k__Pseudomonadati;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum	0.0	57.0	0.0	83.0	0.0	2254.0	0.0	2082.0	0.0	41.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus	0.0	3.0	0.0	163.0	0.0	739.0	0.0	685.0	0.0	67.0	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Pseudolabrys	0.0	63.0	0.0	344.0	0.0	967.0	0.0	191.0	0.0	19.0	0.0	417.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0
k__Bacillati;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Capillimicrobiaceae;g__Capillimicrobium	0.0	44.0	0.0	32.0	0.0	642.0	0.0	114.0	0.0	342.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	276.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Lacibacterium	0.0	0.0	0.0	312.0	0.0	8.0	0.0	6.0	0.0	0.0	0.0	426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;__;__;__	0.0	232.0	0.0	574.0	0.0	791.0	0.0	348.0	0.0	212.0	0.0	687.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0
k__Bacillati;p__Bacillota;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__Lutispora	0.0	0.0	0.0	33.0	0.0	1201.0	0.0	695.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0
k__Pseudomonadati;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Marispirochaeta	0.0	0.0	0.0	0.0	0.0	1074.0	0.0	208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;__	0.0	0.0	0.0	0.0	0.0	686.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
